Region (Bhf);Techn. Platz (Bhf);Bezeichnung (Bhf);Bezeichn. TP (EQ);Equipment (EQ);Bezeichnung (EQ);Postleitzahl (EQ);Ort (Bhf);Standort EQ;Hersteller (EQ);Baujahr (EQ);Klassenbezeichnung;ANTRIEBSART;ANZAHL_HALTESTELLEN;ANZAHL_TUEREN_KABINE;ANZAHL_TUEREN_SCHACHT;FOERDERGESCHWINDIGKEIT;FOERDERHOEHE;LAGE;TRAGKRAFT;ERWEITERTE_ORTSANGABE;MIN_TUERBREITE;KABINENTIEFE;KABINENBREITE;KABINENHOEHE;AUSFTEXTLICHEBESCHREIBUNG;TUERHOHE;FABRIKNUMMER;TUERART;GEOKOORDINATERECHTSWERTNEU;GEOKOORDINATEHOCHWERTNEU;NAMEGEMAESSWEGELEITSYSTEM;VERKEHRENDEVERKEHRSMITTEL
;;;Bahnsteig 2 Mittelbahnsteig;10455447;AZ Gl. 2-4 / Fabrik-Nr: 284010096;12435;Berlin;;Thyssen Krupp;2011;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;5,310000000000001;AUßEN;1000,0;"GL3/4;AUSGANG";900,0;2100,0;1100,0;2150,0;zu Gleis 2/4 (S-Bahn);2100,0;284010096;ZS2;13,4618988;52,4937547;;
;06340;Berlin Brandenburger Tor;UPVA;10312109;AZ Gl. 1-2 (Schrägaufzug) / F-Nr: 981514;10117;Berlin;;Hütter Aufzüge GmbH;2001;Personenaufzüge;HYDRAULISCH;2,0;2,0;2,0;0,5;3,44;INNEN;1425,0;"GL1/2;AUSGANG";900,0;2100,0;1400,0;2150,0;zu Gleis 1/2 (S-Bahn);2000,0;981514;ES2;13,3802582;52,5164729;;
;06472;Waidmannslust;S-Bahnsteig 01;10410616;AZ Gl. 1-2 / Fabrik-Nr: 244003090;13469;Berlin;;Thyssen Krupp;2004;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;5,97;AUßEN;1050,0;"GL1/2;AUSGANG";1000,0;2260,0;960,0;2200,0;zu Gleis 1/2 (S-Bahn);2100,0;244003090;ZS2;13,3203639;52,6069667;;
;06708;Westend;S-Bahnsteig 01;10429782;AZ Gl. 1-2 (Ausg. Nord)/F-Nr: 284009029;14059;Berlin;;Thyssen Krupp;2009;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;6,640000000000001;AUßEN;1050,0;"GL1/2;AUSGANG NORD";1000,0;2100,0;1100,0;2150,0;zu Gleis 1/2 (S-Bahn);2100,0;284009029;ES2;13,2841667;52,5188262;;
;;;;10502906;AZ Fabriknummer 10866709 (HA501);14059;Berlin;;Schindler GmbH;2016;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;;AUßEN;1000,0;"EG;BSTG";1000,0;2100,0;1100,0;2200,0;zu Gleis 1/2 (S-Bahn);2100,0;10866709;ES2;13,2843198;52,518452;;
;06723;Berlin-Westkreuz;S-Bahnsteig 01;10131527;AZ Gl. 1-2 - Ring-Bstg./F-Nr: 284007110;14057;Berlin;;Thyssen Krupp;2008;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;6,0;INNEN;1000,0;"GL1/2;RINGBAHNSTG";1000,0;2170,0;960,0;2170,0;von Gleis 1/2 zu Gleis 11/12;2100,0;284007110;ZS2;13,2838186;52,5008704;;
;;;S-Bahnsteig 02;10135258;AZ Gl. 11-12 / Fabrik-Nr: 284007111;14057;Berlin;;ThyssenKrupp Aufzüge GmbH;2008;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;6,0;INNEN;1000,0;"GL11/12;AUSGANG";1000,0;2200,0;940,0;2240,0;zu Gleis 11/12 (S-Bahn);2100,0;284007111;ZS2;13,2835706;52,5012026;;
;;;S-Bahnsteig 03;10136278;AZ Gl. 3-4 - Ring-Bstg./F-Nr: 284007112;14057;Berlin;;ThyssenKrupp Aufzüge GmbH;2008;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,600000000000001;INNEN;1050,0;"GL3/4;RINGBAHNSTG";1000,0;2170,0;960,0;2170,0;von Gleis 3/4 zu Gleis 11/12;2100,0;284007112;ZS2;13,2840041;52,5006372;;
;06771;Wilhelmshagen;Mittelbahnsteig;10499271;Personenaufzüge;12589;Berlin;; ;2019;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;;;Personentunnel;10499270;Personenaufzüge;12589;Berlin;; ;2019;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;06824;Wittenau (Wilhelmsruher Damm);Bahnsteigbereich;10448904;AZ Gl. 1-2 / Fabrik-Nr: 284010038;13435;Berlin;;Thyssen Krupp;2010;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;6,58;INNEN;900,0;"GL1/2;AUSGANG";900,0;1700,0;1100,0;2250,0;zu Gleis 1/2 (S-Bahn);2100,0;284010038;ES2;13,3358087;52,5961894;;
;06840;Messe Nord / ICC (Witzleben);Ausgangsbauwerk Süd;10468024;AZ  Südzug. 284008079;14057;Berlin;;Thyssen;2009;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;7,36;AUßEN;1350,0;ZUGANG SÜD - BSTG.;1000,0;2100,0;1400,0;2300,0;zu Gleis 1/2 (S-Bahn);2100,0;284008079;ZS2;13,2826146;52,5061989;;
;;;S-Bahnsteig 01;10410630;AZ Gl. 1-2 (Brücke)/Fabrik-Nr: 47KAH660;14057;Berlin;;OTIS GmbH & Co. OHG;2008;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;7,62;AUßEN;1000,0;"GL1/2;AUSGANG";1000,0;1540,0;1350,0;2200,0;zu Gleis 1/2 (S-Bahn);2100,0;284008079;ZS2;13,2828215;52,5067928;;
;06871;Wollankstraße;Bahnsteig 3-4;10410615;AZ Gl. 3-4 / Fabrik-Nr: 47KAE606;13359;Berlin;;OTIS GmbH & Co. OHG;2005;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;6,16;AUßEN;1070,0;"GL3/4;AUSGANG";1000,0;2330,0;940,0;2200,0;zu Gleis 3/4 (S-Bahn);2100,0;47KAE606;ZS2;13,3927;52,5649428;;
;06899;Wuhlheide;Mittelbahnsteig;10455367;AZ Gl. 1-2 / Fabrik-Nr: 47KAL860;12683;Berlin;;OTIS GmbH & Co. OHG;2011;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;5,0;AUßEN;1070,0;"GL1/2;AUSGANG";1000,0;2100,0;1100,0;2200,0;zu Gleis 1/2 (S-Bahn);2100,0;47KAL860;ES2;13,5531722;52,4690661;;
;07146;Südende;S-Bahnsteig 01;10448899;AZ Gl. 1-2 / Fabrik-Nr: 284010025;12247;Berlin;;Thyssen Krupp;2010;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,89;AUßEN;1000,0;"GL1/2;AUSGANG";1000,0;2100,0;1100,0;2250,0;zu Gleis 1/2 (S-Bahn);2100,0;284010025;ZS2;13,3543328;52,4489068;;
;07719;Alt-Reinickendorf;Bahnsteig 1;10487852;AZ Gl. 1 PU - Bstg./Fabrik-Nr: 284013047;13407;Berlin;;Thyssen Krupp;2014;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;5,100000000000001;AUßEN;1050,0;GL1:AUSGANG;1000,0;2100,0;1100,0;2100,0;zu Gleis 1 (S-Bahn);2000,0;284013047;ES2;13,3497994;52,5779827;;
;07720;Berlin-Lichterfelde Ost;Fernbahnsteig Gleis 3;10311767;AZ Gl. 3 (Regio) / Fabrik-Nr: 24003;12209;Berlin;BAHNSTEIGBEREICH GLEIS 3;Tepper Aufzüge GmbH;2006;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;5,520000000000001;AUSSEN;1065,0;"GL3;AUSGANG";1000,0;2200,0;980,0;2200,0;zu Gleis 3;2100,0;24003;ES2;13,3278932;52,4292789;;
;;;Fernbahnsteig Gleis 4;10311897;AZ Gl. 4 (Regio) / Fabrik-Nr: 24004;12209;Berlin;;Tepper Aufzüge GmbH;2006;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;5,520000000000001;AUSSEN;1065,0;"GL4;AUSGANG";1000,0;2200,0;980,0;2200,0;zu Gleis 4;2100,0;24004;ES2;13,3282097;52,4291125;;
;;;S-Bahnsteig Gleis 1/2;10448906;AZ Gl. 1-2 (S-Bahn)/Fabrik-Nr: 284010036;12209;Berlin;S-BAHNSTEIG 1/2;Thyssen Krupp;2010;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;5,310000000000001;AUßEN;1050,0;"GL1/2;AUSGANG";1000,0;2200,0;960,0;2150,0;zu Gleis 1/2 (S-Bahn);2100,0;284010036;ZS2;13,3275304;52,4294023;;
;07721;Berlin-Tegel;S-Bahnsteig 01;10121587;AZ Ausgang West/Fabrik-Nr: 47T 0048-0-3;13507;Berlin;;OTIS GmbH & Co. OHG;1998;Personenaufzüge;HYDRAULISCH;2,0;2,0;2,0;0,6;4,07;AUßEN;1425,0;"FUßGÄNGERTUNNEL;AUSGANG";1000,0;2330,0;1220,0;2300,0;zu Gleis 1/5 (S-Bahn);2100,0;47T0048-0-3;ZS2;13,2893417;52,5886879;;
;;;Unterführung als Bahnsteigzugang 2x;10121622;AZ Gl. 1-2 (Gorkistr.)/F-Nr: 47T0048-0-4;13507;Berlin;;OTIS GmbH & Co. OHG;1998;Personenaufzüge;HYDRAULISCH;2,0;2,0;2,0;0,6;3,26;AUßEN;1425,0;"FUßGÄNGERTUNNEL; GL1/2";1000,0;2330,0;1220,0;2300,0;von EG zu Tunnel;2100,0;47T0048-0-4;ZS2;13,2891637;52,5885598;;
;;;;10121623;AZ Ausg Ost (Buddestr)/F-Nr: 47T0048-0-2;13507;Berlin;;OTIS GmbH & Co. OHG;1998;Personenaufzüge;HYDRAULISCH;2,0;2,0;2,0;0,6;3,26;AUßEN;1425,0;"FUßGÄNGERTUNNEL;AUSGANG";1000,0;2330,0;1220,0;2300,0;von EG zu Tunnel;2100,0;47T0048-0-2;ZS2;13,2895745;52,5887389;;
;07722;Eichborndamm;S-Bahnsteig 01;10487855;AZ Gl. 2 PU - Bstg./Fabrik-Nr: 284013048;13403;Berlin;;Thyssen Krupp;2014;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;5,99;AUßEN;675,0;"GL1;AUSGANG";1000,0;1400,0;1100,0;2200,0;zu Gleis 1 (S-Bahn);2100,0;284013048;ZS2;13,3157024;52,5775976;;
;07726;Beusselstraße;Bahnsteigbereich;10118901;AZ Gl. 1-2 / Fabrik-Nr: 244098713;10551;Berlin;;Thyssen Krupp;1999;Personenaufzüge;HYDRAULISCH;2,0;2,0;2,0;0,4;5,84;AUßEN;1425,0;"GL1/2;AUSGANG";1000,0;2100,0;1400,0;2300,0;zu Gleis 1/2 (S-Bahn);2100,0;244098713;ZS2;13,3287209;52,5343161;;
;07727;Messe Süd (Eichkamp);Bahnsteig 01;10508141;Aufzug Gl. 1/2 FabrkNr. 10905860;14055;Berlin;;Fa. Schindler;2016;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;7,140000000000001;AUßEN;1050,0;"GL. 1/2; AUSGANG";1000,0;2000,0;1100,0;2200,0;zu Gleis 1/2 (S-Bahn);;10905860;ZS2;13,2697802;52,4987789;;
;07728;Heerstraße;Bahnsteig 1-2;10464312;AZ Gl. 1-2 / Fabrik-Nr: 284011103;14055;Berlin;;Thyssen Krupp;2011;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;6,8;AUßEN;1050,0;"GL1/2;AUSGANG";1000,0;2100,0;1100,0;2200,0;zu Gleis 1/2 (S-Bahn);2100,0;284011103;ZS2;13,2587955;52,5082973;;
;07729;Heiligensee;S-Bahnsteig 01;10121374;AZ Gl. 1 / Fabrik-Nr: 47 T 0048-0-1;13503;Berlin;;OTIS GmbH & Co. OHG;1998;Personenaufzüge;HYDRAULISCH;2,0;2,0;2,0;0,6;5,61;AUßEN;1425,0;"GL1;AUSGANG";1000,0;2100,0;1400,0;2300,0;zu Gleis 1/2 (S-Bahn);2100,0;47T0048-0-1;ZS2;13,2285495;52,6251496;;
;07730;Lichterfelde Süd;S-Bahnsteig 01;10455448;AZ Gl. 1-2 - PU / Fabrik-Nr: 284010098;12207;Berlin;;Thyssen Krupp;2011;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;6,03;AUßEN;1050,0;"GL1/2;FUßGÄNGERTUNNEL";1000,0;2100,0;1100,0;2200,0;zu Gleis 1/2 (S-Bahn);2100,0;284010097;ZS2;13,3090113;52,4108754;;
;;;Unterführung als Bahnsteigszugang / Nord;10455449;AZ PU Nord / Fabrik-Nr: 284010097;12207;Berlin;;Thyssen Krupp;2011;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;6,03;AUßEN;1050,0;"AUSGANG;FUßGÄNGERTUNNEL";1000,0;2100,0;1100,0;2200,0;von EG zu Tunnel;2100,0;284010098;ZS2;13,3087097;52,4109699;;
;07731;Olympiastadion;S-Bahnsteig 01;10464308;AZ Gl. 1-2 / Fabrik-Nr: 284011097;14053;Berlin;;Thyssen Krupp;2012;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;5,58;AUßEN;1050,0;"GL1/2;AUSGANG";1000,0;2100,0;1100,0;2200,0;zu Gleis 1/2 (S-Bahn);2100,0;284011097;ZS2;13,2411033;52,5109906;;
;;;Vorplatz;10464309;AZ Gl 9-10 (Sonder-Bstg)/F-Nr: 284011098;14053;Berlin;;Thyssen Krupp;2012;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;5,58;AUßEN;1050,0;"GL9/10;AUSGANG";1000,0;2100,0;1100,0;2200,0;zu Gleis 9/10 (S-Bahn);2100,0;284011098;ZS2;13,2408913;52,511728;;
;07732;Pichelsberg;S-Bahnsteig 01;10464307;AZ Gl. 1-2 (HA209)/Fabrik-Nr: 284011099;14055;Berlin;;Thyssen Krupp;2012;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;6,895000000000001;AUßEN;1050,0;"GL1/2;AUSGANG";1000,0;2100,0;1100,0;2200,0;zu Gleis 1/2 (S-Bahn);2100,0;284011099;ZS2;13,2287069;52,5098248;;
;07734;Schulzendorf (b Tegel);S-Bahnsteig 01;10121454;AZ Gl. 1-2 / Fabrik-Nr: 244001735;13503;Berlin;;Thyssen Krupp;2001;Personenaufzüge;HYDRAULISCH;2,0;2,0;2,0;0,4;5,13;AUßEN;1425,0;"GL1/2;AUSGANG";1000,0;2280,0;1230,0;2270,0;zu Gleis 1/2 (S-Bahn);2100,0;244001735;ZS2;13,24527402;52,6133945;;
;07736;Sonnenallee;S-Bahnsteig 01;10455451;AZ Gl. 1-2 / Fabrik-Nr: 284010106;12055;Berlin;;Thyssen Krupp;2011;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;5,26;AUßEN;1050,0;"GL1/2;AUSGANG";1000,0;2100,0;1100,0;2000,0;zu Gleis 1/2 (S-Bahn);2000,0;284010106;ZS2;13,45549685;52,47273907;;
;07755;Yorckstraße (Großgörschenstraße);S-Bahnsteig 01;10468334;AZ Gl. 1-2 / Fabrik-Nr: 284011140;10965;Berlin;;Thyssen Krupp;2012;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;5,76;AUßEN;1050,0;"GL1/2;AUSGANG";1000,0;2100,0;1100,0;2200,0;zu Gleis 1/2 (S-Bahn);2100,0;284011140;ZS2;13,3672939;52,4916108;;
;07756;Wedding;Bahnsteig 1-2;10509152;AZ Gl. 1-2 / Fabrik-Nr: 10904347;13347;Berlin;;Schindler;2016;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;6,8;AUßEN;1050,0;"BSTG.EBENE;ERDGESCHOSS";1000,0;2100,0;1100,0;2200,0;zu Gleis 1/2 (S-Bahn);2100,0;10904347;ZS2;13,3661402;52,5424201;;
;07759;Julius-Leber-Brücke;Bahnsteig 01;10397120;AZ Gl. 1 / Fabrik-Nr: 47NAH774;10829;Berlin;BAHNSTEIG 1;OTIS GmbH & Co. OHG;2008;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;6,05;AUßEN;1050,0;"GL1;AUSGANG";1000,0;2240,0;950,0;2300,0;zu Gleis 1 (S-Bahn);2100,0;47NAH774;ES2;13,3608731;52,4863855;;
;;;Bahnsteig 02;10397121;AZ Gl. 2 / Fabrik-Nr: 47NAH775;10829;Berlin;BAHNSTEIG 2;OTIS GmbH & Co. OHG;2008;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;6,05;AUßEN;1050,0;"GL2;AUSGANG";1000,0;2240,0;950,0;2300,0;zu Gleis 2 (S-Bahn);2100,0;47NAH775;ES2;13,3610659;52,4862981;;
;07760;Westhafen;S-Bahnsteig 01;10119290;AZ Gl. 1-2 / Fabrik-Nr: 244098714;13353;Berlin;;Thyssen Krupp;1999;Personenaufzüge;HYDRAULISCH;2,0;2,0;2,0;0,4;6,92;AUßEN;1425,0;"GL1/2;AUSGANG";1000,0;2200,0;1250,0;2260,0;zu Gleis 1/2 (S-Bahn);2100,0;244098714;ZS2;13,3434164;52,5361654;;
;07761;Stresow;S-Bahnsteig 01;10068697;AZ Gl. 1-2 / Fabrik-Nr: 244098705;13597;Berlin;;Thyssen Krupp;1998;Personenaufzüge;HYDRAULISCH;2,0;2,0;2,0;0,4;5,23;AUßEN;1000,0;"GL1/2;AUSGANG";900,0;2430,0;960,0;2190,0;zu Gleis 1/2 (S-Bahn);2100,0;244098705;ZS2;13,20955967;52,53192359;;
;07762;Osdorferstraße;S-Bahnsteig 01;10455437;AZ Gl. 1-2 / Fabrik-Nr: 284010099;12207;Berlin;;ThyssenKrupp Aufzüge GmbH;2011;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;6,11;AUßEN;1000,0;"GL1/2;AUSGANG";1000,0;2100,0;1100,0;2200,0;zu Gleis 1/2 (S-Bahn);2100,0;284010099;ZS2;13,3139335;52,4184452;;
12;00148;Angermünde;Personentunnel;10320735;Az Gl 1/2 Fabrik Nr.:47KAF 509;16278;Angermünde;VOM BSTG IN DIE PU;OTIS GmbH & Co. OHG;2006;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,45;AUßEN;1350,0;"GL 1/2;";900,0;2100,0;1400,0;2200,0;zu Gleis 1/2;2100,0;47KAF 509;ZS2;13,9967511;53,0151077;;Regionalverkehr
;;;;10320736;Az Gl 3/4/5 Fabrik Nr.:47KAF 510;16278;Angermünde;VOM BSTG IN DIE PU;OTIS GmbH & Co. OHG;2006;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,59;AUßEN;1350,0;"GL 3/4/5;";900,0;2100,0;1400,0;2200,0;zu Gleis 3/4/5;2100,0;47KAF 510;ZS2;13,9963261;53,0150261;;Regionalverkehr
;;;RAUM 018 Empfangshalle;10320738;Az EG Halle Fabrik Nr.: 47KAF 508;16278;Angermünde;VON DER EMPF-HALLE IN DIE PU;OTIS GmbH & Co. OHG;2006;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;3,12;INNEN;1070,0;"EMPF-HALLE;PU";900,0;2100,0;1400,0;2200,0;von Empfangshalle zu Tunnel;2100,0;47KAF 508;ZS2;13,9968645;53,0151748;;Regionalverkehr
;00237;Babelsberg;Bahnsteig 1-2;10310537;AZ Gl. 1-2 / Fabrik-Nr: 47KP1958;14482;Potsdam;;OTIS GmbH & Co. OHG;2001;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;5,91;INNEN;1025,0;"GL1/2;AUSGANG";1000,0;2100,0;1100,0;2300,0;zu Gleis 1/2 (S-Bahn);2100,0;47KP1958;ES2;13,091279;52,39128276;;
;00478;Bad Belzig;Bahnsteig 1;10323734;Az Gl. 1 Fabrik.Nr.:47AKE292;14806;Belzig;FGBR ZUM BSTG 1;OTIS GmbH & Co. OHG;2005;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;6,03;BSTG. ANFANG;1070,0;BSTG. ANFANG;1000,0;2300,0;1150,0;2200,0;zu Gleis 1;2100,0;47AKE292;ZS2;12,5945826;52,1361769;Aufzug Gleis 1;Regionalverkehr
;;;Bahnsteig 2;10323737;Az Gl. 2 Fabrik.Nr.:47KAE293;14806;Belzig;FGBR ZUM BSTG 2;OTIS GmbH & Co. OHG;2005;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;6,09;BSTG. ANFANG;1070,0;BSTG. ANFANG;1000,0;2300,0;1150,0;2200,0;zu Gleis 2;2100,0;47KAE293;ZS2;12,5945118;52,1360284;Aufzug Gleis 2;Regionalverkehr
;00503;Bergfelde (b Berlin);Bahnsteig 1;10464311;AZ Gl. 1-2 / Fabrik-Nr: 284011104;16562;Hohen Neuendorf;;Thyssen Krupp;2012;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;5,01;AUßEN;1000,0;"GL1/2; AUSGANG";1000,0;2100,0;1100,0;2200,0;zu Gleis 1/2 (S-Bahn);2100,0;284011104;ZS2;13,3215298;52,6698079;;
;00571;Bernau (b Berlin);Bahnsteig ( Fernbahnsteig) GL 4/5;10466418;Az Gl. 4/5 von Pu zu Fernbstg.;16321;Bernau bei Berlin;VOM PU ZUM F-BAHNSTEIG GL 4/5;Thyssen Krupp;2012;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,520000000000001;AUßEN;1000,0;"PU;FERNBSTG. GL 4/5";900,0;2100,0;1100,0;2300,0;zu Gleis 4/5;2100,0;284010124;ZS2;13,5931556;52,6760432;;Regionalverkehr
;;;S-Bahnsteig 01;10454156;Az Gl. 1/2 HA 150 (S-Bahn);16321;Bernau bei Berlin;VOM VORPLATZ ZUM BSTG GL 1/2;Thyssen Krupp;2011;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,3;AUßEN;1000,0;"GL 1/2 (S-BAHN);";1000,0;2100,0;1100,0;2300,0;zu Gleis 1/2 (S-Bahn);2100,0;284010035;ZS2;13,5925984;52,6761324;;S-Bahn
;00660;Birkenstein;Bahnsteig 1-2;10487472;AZ Bstg. Gl. 1-2- PÜ/FabrikNr. 284013085;15366;Hoppegarten;;Thyssen Krupp;2014;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,46;AM ÖSTL. BAHNSTEIGENDE;1050,0;"BAHNSTEIG; ÜBERFÜHRUNG";1000,0;2100,0;1100,0;2200,0;zu Gleis 1/2 (S-Bahn);2100,0;284013085;ZS2;13,6486085;52,5157341;;
;;;;10487473;AZ PÜ - Wohngebiet / Fabriknr: 284013084;15366;Hoppegarten;;Thyssen Krupp;2014;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;5,600000000000001;VORPLATZ;1050,0;"ÜBERFÜHRUNG; VORPLATZ";1000,0;2100,0;1100,0;2200,0;von EG zu Brücke;2100,0;284013084;ZS2;13,6485856;52,5158634;;
;00661;Birkenwerder (b Berlin);Erdgeschoss;10448914;Az Gl. 4/6 HA 160 zum Bstg;16547;Birkenwerder;BSTG GL 4/6 ZUM EG AUSGANG;Thyssen Krupp;2011;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;5,497;AUßEN;1050,0;"GL 4/6; EG ZUM AUSGANG";900,0;2100,0;1100,0;2300,0;zu Gleis 4/6 (S-Bahn);2100,0;204010037;ZS2;13,2887589;52,6878365;;S-Bahn
;00823;Brandenburg Hbf;Bahnsteig 1 Hausbahnsteig;10464322;Az Gl. 1 Fabrik.Nr.:284011105;14774;Brandenburg an der Havel;BSTG 1 ZUM PTU;Thyssen Krupp;2012;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;4,350000000000001;BSTG MITTE;630,0;BSTG MITTE;1000,0;2200,0;1150,0;2100,0;zu Gleis 1;2000,0;346468;ZS2;12,5654;52,4006;AUFZUG GLEIS 1;Fern- und Regionalverkehr
;;;Bahnsteig 2/3 Mittelbahnsteig;10464323;Az Gl. 2/3 Fabrik-Nr.:284011106;14774;Brandenburg an der Havel;BSTG 2/3 - PTU;Thyssen Krupp;2012;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;4,495;BSTG MITTE;630,0;BSTG MITTE;1000,0;2200,0;1150,0;2100,0;zu Gleis 2/3;2000,0;346469;ZS2;12,5657;52,4004;AUFZUG GLEIS 2 / 3;Fern- und Regionalverkehr
;;;Bahnsteig 4 Außenbahnsteig;10464324;Az Gl. 4 Fabrik-Nr.:´284011107;14774;Brandenburg an der Havel;BSTG 4 - PTU;Thyssen Krupp;2012;Personenaufzüge;SEIL;2,0;1,0;2,0;0,63;4,305000000000001;BSTG MITTE;630,0;BSTG MITTE;1000,0;2200,0;1150,0;2100,0;zu Gleis 4;2000,0;346470;ZS2;12,5658;52,4003;AUFZUG GLEIS 4;Regionalverkehr
;00909;Brück (Mark);Bahnsteig 1;10323739;Az Gl. 1 Fabrik.Nr.:47KAE295;14822;Brück;BSTG 1 ZUM PTU;OTIS GmbH & Co. OHG;2005;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,4;BSTG. ANFANG;1070,0;BSTG. ANFANG;1000,0;2300,0;1000,0;2200,0;zu Gleis 1;2100,0;47KAE294;ZS2;12,7580483;52,1866252;AUFZUG GLEIS 1;Regionalverkehr
;;;Bahnsteig 2;10323741;Az Gl. 2 Fabrik.Nr.:47KAE294;14822;Brück;BSTG 2 ZUM PTU;OTIS GmbH & Co. OHG;2005;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,4;BSTG. ANFANG;1070,0;BSTG. ANFANG;1000,0;2300,0;1000,0;2200,0;zu Gleis 2;2100,0;47KAE295;ZS2;12,7582353;52,1865101;AUFZUG GLEIS 2;Regionalverkehr
;01077;Cottbus;Bahnsteig 1;10012323;AZ Tunnel (neu) > Bstg. 1;03048;Cottbus;BAHNSTEIG 1;OTIS GmbH & Co. OHG;2007;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;4,51;SCHACHT - TUNNEL > BSTG. 1;2000,0;"GL1;TUNNEL";1000,0;2600,0;1480,0;2200,0;zu Gleis 1;2100,0;47KAG375;ZS2;14,32476447;51,75053847;;
;;;Bahnsteig 6;10012322;AZ Tunnel (neu) > Bstg. 6;03048;Cottbus;BAHNSTEIG 6;OTIS GmbH & Co. OHG;2007;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;4,05;SCHACHT - TUNNEL > BSTG. 6;2000,0;"GL6;TUNNEL";1000,0;2680,0;1480,0;2200,0;zu Gleis 6;2100,0;47KAG374;ZS2;14,32472593;51,75118426;;
;;;Raum 044 (Aufzugsraum Ost);10012394;Person-Lastenaufzug m. Schaltschrank NRR;03048;Cottbus;RAUM 044 AUFZUGSRAUM B.POL;VEB AWL Leipzig;1977;Personenaufzüge;HYDRAULISCH;4,0;1,0;4,0;0,17;11,0;INTEGRIERT;500,0;"1UG;0OG;1OG;2OG";770,0;1330,0;1000,0;2020,0;;1980,0;011432;D1;14,324738;51,751182;;
;01116;Dallgow-Döberitz;Inselbahnsteig  1/2;10432083;Az Gl. 1/2 Fabrik.Nr.:47KAL202;14624;Dallgow (b Berlin);BSTG 1/2 ZUM PTU;OTIS GmbH & Co. OHG;2009;Personenaufzüge;SEIL;2,0;1,0;4,0;1,0;4,060000000000001;BSTG ENDE;1000,0;BSTG ENDE;1000,0;1800,0;1300,0;2200,0;zu Gleis 1/2;2000,0;47KAL202;ZS2;13,057728;52,5436755;AUFZUG GLEIS 1 / 2;Regionalverkehr
;01240;Doberlug-Kirchhain;Aufzugsschacht (Stahlkonstruktion);10353012;AZ Nr.3, BSTG.1 ZU BSTG.4 Fab.Nr.;03253;Doberlug-Kirchhain;BSTG.1 ZUM BSTG.4;OTIS GmbH & Co. OHG;2007;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;5,95;INTEGRIERT;1050,0;"GL1;GL4";1000,0;2100,0;1100,0;2200,0;von Gleis 1 zu Gleis 4;2100,0;47KAH639;ZS2;13,56407323;51,6205826;;
